OBJECTID,event_type_cn,event_type_en,Scenario,Threshold_boundaries,S1_label,S1_m2,S1_km2,S2_label,S2_m2,S2_km2,S3_label,S3_m2,S3_km2,S4_label,S4_m2,S4_km2,S5_label,S5_m2,S5_km2,Total_A_m2,Total_A_km2,A_lit_m2,A_lit_km2,PCR,STDHNLPI,ELS,HER
10,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,30826604.18200758,30.826604182007586,0.5-1,0.0,0.0,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,30826604.18200758,30.826604182007586,0.0,0.0,0.0,0.0,,0.0
11,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,37538848.6409931,37.5388486409931,0.5-1,497203.2932581868,0.4972032932581868,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,38036051.93425129,38.03605193425129,497203.2932581868,0.4972032932581868,0.0130718954248366,0.0032679738562091,0.25,0.0
12,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,33064019.00166942,33.06401900166942,0.5-1,0.0,0.0,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,33064019.00166942,33.06401900166942,0.0,0.0,0.0,0.0,,0.0
13,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,134990694.1195977,134.9906941195977,0.5-1,8452455.985389175,8.452455985389175,1-5,3729024.699436401,3.729024699436401,5-10,1243008.233145467,1.243008233145467,>=10,0.0,0.0,148415183.03756875,148.41518303756874,13424488.917971045,13.424488917971043,0.0904522613065326,0.0330820770519263,0.3657407407407407,0.0083752093802345
14,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,11435675.744938295,11.435675744938296,0.5-1,0.0,0.0,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,11435675.744938295,11.435675744938296,0.0,0.0,0.0,0.0,,0.0
15,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,181727803.68586728,181.7278036858673,0.5-1,1491609.8797745602,1.4916098797745605,1-5,248601.6466290934,0.2486016466290934,5-10,0.0,0.0,>=10,0.0,0.0,183468015.21227092,183.46801521227096,1740211.5264036537,1.7402115264036535,0.0094850948509485,0.002710027100271,0.2857142857142857,0.0
16,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,497203.2932581868,0.4972032932581868,0.5-1,0.0,0.0,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,497203.2932581868,0.4972032932581868,0.0,0.0,0.0,0.0,,0.0
17,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,18396521.85055291,18.396521850552908,0.5-1,3231821.406178214,3.2318214061782142,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,21628343.256731123,21.628343256731124,3231821.406178214,3.2318214061782142,0.1494252873563218,0.0373563218390804,0.25,0.0
18,越冬地,Wintering,C0,"0.5,1.0,5.0,10.0",0-0.5,12181480.684825577,12.181480684825576,0.5-1,11932879.038196482,11.932879038196482,1-5,5717837.872469148,5.717837872469148,5-10,248601.6466290934,0.2486016466290934,>=10,0.0,0.0,30080799.242120303,30.080799242120303,17899318.557294726,17.899318557294727,0.5950413223140496,0.2004132231404958,0.3368055555555555,0.0082644628099173
1,繁殖地,Breeding,Cp20,"0.6,1.2,6.0,12.0",0-0.6,44499694.74660776,44.49969474660776,0.6-1.2,0.0,0.0,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,44499694.74660776,44.49969474660776,0.0,0.0,0.0,0.0,,0.0
2,关键停留地,Key stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,8701057.632018277,8.701057632018278,0.6-1.2,49471727.67918963,49.47172767918963,1.2-6,1740211.5264036553,1.7402115264036553,6-12,0.0,0.0,>=12,0.0,0.0,59912996.83761156,59.912996837611566,51211939.20559329,51.21193920559329,0.8547717842323652,0.220954356846473,0.2584951456310679,0.0
3,关键停留地,Key stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,178993185.5729474,178.99318557294745,0.6-1.2,1988813.173032749,1.988813173032749,1.2-6,497203.2932581872,0.4972032932581872,6-12,0.0,0.0,>=12,0.0,0.0,181479202.0392384,181.4792020392384,2486016.4662909363,2.4860164662909363,0.0136986301369863,0.0041095890410958,0.3,0.0
4,关键停留地,Key stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,0.0,0.0,0.6-1.2,9695464.218534652,9.695464218534651,1.2-6,78309518.68816449,78.30951868816449,6-12,4474829.639323685,4.474829639323685,>=12,248601.6466290936,0.2486016466290936,92728414.19265191,92.72841419265193,92728414.19265191,92.72841419265193,1.0,0.4872654155495978,0.4872654155495978,0.0509383378016085
5,关键停留地,Key stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,131013067.77353236,131.01306777353236,0.6-1.2,1243008.2331454682,1.2430082331454682,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,132256076.00667782,132.25607600667783,1243008.2331454682,1.2430082331454682,0.0093984962406015,0.0023496240601503,0.25,0.0
6,关键停留地,Key stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,316967099.4520944,316.9670994520944,0.6-1.2,10938472.45168012,10.93847245168012,1.2-6,1491609.8797745616,1.4916098797745616,6-12,0.0,0.0,>=12,0.0,0.0,329397181.7835491,329.39718178354906,12430082.33145468,12.43008233145468,0.0377358490566037,0.010566037735849,0.2799999999999999,0.0
7,关键停留地,Key stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,130267262.83364506,130.26726283364505,0.6-1.2,4226227.992694591,4.226227992694591,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,134493490.82633966,134.49349082633967,4226227.992694591,4.226227992694591,0.0314232902033271,0.0078558225508317,0.25,0.0
8,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,14916098.797745615,14.916098797745615,0.6-1.2,0.0,0.0,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,14916098.797745615,14.916098797745615,0.0,0.0,0.0,0.0,,0.0
9,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,54195158.96514241,54.1951589651424,0.6-1.2,994406.5865163744,0.9944065865163744,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,55189565.55165878,55.18956555165878,994406.5865163744,0.9944065865163744,0.018018018018018,0.0045045045045045,0.25,0.0
10,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,30826604.18200761,30.82660418200761,0.6-1.2,0.0,0.0,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,30826604.18200761,30.82660418200761,0.0,0.0,0.0,0.0,,0.0
11,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,37787450.28762223,37.78745028762223,0.6-1.2,248601.6466290936,0.2486016466290936,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,38036051.93425132,38.036051934251326,248601.6466290936,0.2486016466290936,0.0065359477124183,0.0016339869281045,0.25,0.0
12,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,33064019.00166945,33.06401900166945,0.6-1.2,0.0,0.0,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,33064019.00166945,33.06401900166945,0.0,0.0,0.0,0.0,,0.0
13,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,138471117.17240515,138.47111717240514,0.6-1.2,5966439.519098247,5.966439519098246,1.2-6,3729024.699436404,3.729024699436404,6-12,248601.6466290936,0.2486016466290936,>=12,0.0,0.0,148415183.0375689,148.4151830375689,9944065.865163743,9.944065865163743,0.067001675041876,0.0238693467336683,0.35625,0.0016750418760469
14,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,11435675.744938308,11.435675744938306,0.6-1.2,0.0,0.0,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,11435675.744938308,11.435675744938306,0.0,0.0,0.0,0.0,,0.0
15,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,182722210.2723838,182.72221027238385,0.6-1.2,745804.9398872808,0.7458049398872808,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,183468015.2122711,183.4680152122711,745804.9398872808,0.7458049398872808,0.0040650406504065,0.0010162601626016,0.25,0.0
16,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,497203.2932581872,0.4972032932581872,0.6-1.2,0.0,0.0,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,497203.2932581872,0.4972032932581872,0.0,0.0,0.0,0.0,,0.0
17,临时停留地,Temporary stopover,Cp20,"0.6,1.2,6.0,12.0",0-0.6,20385335.02358568,20.38533502358568,0.6-1.2,1243008.2331454682,1.2430082331454682,1.2-6,0.0,0.0,6-12,0.0,0.0,>=12,0.0,0.0,21628343.256731145,21.628343256731146,1243008.2331454682,1.2430082331454682,0.0574712643678161,0.014367816091954,0.25,0.0
18,越冬地,Wintering,Cp20,"0.6,1.2,6.0,12.0",0-0.6,19142326.79044021,19.142326790440208,0.6-1.2,6463642.812356434,6.463642812356434,1.2-6,4226227.992694591,4.226227992694591,6-12,248601.6466290936,0.2486016466290936,>=12,0.0,0.0,30080799.24212033,30.080799242120328,10938472.451680118,10.938472451680118,0.3636363636363636,0.1301652892561983,0.3579545454545454,0.0082644628099173
